Dia,Tratamiento,Peso_g,Peso_Anterior_g,Ganancia_Peso_g,Peso_Inicial_Promedio_g,Peso_Final_Promedio_g,Conversion_Alimenticia_Global
2,T0R3,315,110.0,205.0,39.4,3363.45,1.739702283014571
2,T0R3,730,315.0,415.0,39.4,3363.45,1.739702283014571
2,T0R3,1270,730.0,540.0,39.4,3363.45,1.739702283014571
2,T0R3,1750,1270.0,480.0,39.4,3363.45,1.739702283014571
2,T0R3,2395,1750.0,645.0,39.4,3363.45,1.739702283014571
2,T0R3,3365,2395.0,970.0,39.4,3363.45,1.739702283014571
3,T0R3,40,3365.0,-3325.0,39.4,3363.45,1.739702283014571
3,T0R3,120,40.0,80.0,39.4,3363.45,1.739702283014571
3,T0R3,345,120.0,225.0,39.4,3363.45,1.739702283014571
3,T0R3,750,345.0,405.0,39.4,3363.45,1.739702283014571
3,T0R3,1215,750.0,465.0,39.4,3363.45,1.739702283014571
3,T0R3,1765,1215.0,550.0,39.4,3363.45,1.739702283014571
3,T0R3,2345,1765.0,580.0,39.4,3363.45,1.739702283014571
3,T0R3,3349,2345.0,1004.0,39.4,3363.45,1.739702283014571
4,T0R3,40,3349.0,-3309.0,39.4,3363.45,1.739702283014571
4,T0R3,100,40.0,60.0,39.4,3363.45,1.739702283014571
4,T0R3,300,100.0,200.0,39.4,3363.45,1.739702283014571
4,T0R3,840,300.0,540.0,39.4,3363.45,1.739702283014571
4,T0R3,1395,840.0,555.0,39.4,3363.45,1.739702283014571
4,T0R3,1860,1395.0,465.0,39.4,3363.45,1.739702283014571
4,T0R3,2337,1860.0,477.0,39.4,3363.45,1.739702283014571
4,T0R3,3455,2337.0,1118.0,39.4,3363.45,1.739702283014571
5,T0R3,40,3455.0,-3415.0,39.4,3363.45,1.739702283014571
5,T0R3,100,40.0,60.0,39.4,3363.45,1.739702283014571
5,T0R3,355,100.0,255.0,39.4,3363.45,1.739702283014571
5,T0R3,840,355.0,485.0,39.4,3363.45,1.739702283014571
5,T0R3,1210,840.0,370.0,39.4,3363.45,1.739702283014571
5,T0R3,1780,1210.0,570.0,39.4,3363.45,1.739702283014571
5,T0R3,2455,1780.0,675.0,39.4,3363.45,1.739702283014571
5,T0R3,3320,2455.0,865.0,39.4,3363.45,1.739702283014571
6,T0R3,40,3320.0,-3280.0,39.4,3363.45,1.739702283014571
6,T0R3,120,40.0,80.0,39.4,3363.45,1.739702283014571
6,T0R3,300,120.0,180.0,39.4,3363.45,1.739702283014571
6,T0R3,790,300.0,490.0,39.4,3363.45,1.739702283014571
6,T0R3,1255,790.0,465.0,39.4,3363.45,1.739702283014571
6,T0R3,1745,1255.0,490.0,39.4,3363.45,1.739702283014571
6,T0R3,2325,1745.0,580.0,39.4,3363.45,1.739702283014571
6,T0R3,3365,2325.0,1040.0,39.4,3363.45,1.739702283014571
7,T0R3,40,3365.0,-3325.0,39.4,3363.45,1.739702283014571
7,T0R3,130,40.0,90.0,39.4,3363.45,1.739702283014571
7,T0R3,325,130.0,195.0,39.4,3363.45,1.739702283014571
7,T0R3,770,325.0,445.0,39.4,3363.45,1.739702283014571
7,T0R3,1275,770.0,505.0,39.4,3363.45,1.739702283014571
7,T0R3,1760,1275.0,485.0,39.4,3363.45,1.739702283014571
7,T0R3,2370,1760.0,610.0,39.4,3363.45,1.739702283014571
7,T0R3,3375,2370.0,1005.0,39.4,3363.45,1.739702283014571
8,T0R3,35,3375.0,-3340.0,39.4,3363.45,1.739702283014571
8,T0R3,105,35.0,70.0,39.4,3363.45,1.739702283014571
8,T0R3,305,105.0,200.0,39.4,3363.45,1.739702283014571
8,T0R3,810,305.0,505.0,39.4,3363.45,1.739702283014571
8,T0R3,1235,810.0,425.0,39.4,3363.45,1.739702283014571
8,T0R3,1790,1235.0,555.0,39.4,3363.45,1.739702283014571
8,T0R3,2355,1790.0,565.0,39.4,3363.45,1.739702283014571
8,T0R3,3380,2355.0,1025.0,39.4,3363.45,1.739702283014571
9,T0R3,40,3380.0,-3340.0,39.4,3363.45,1.739702283014571
9,T0R3,120,40.0,80.0,39.4,3363.45,1.739702283014571
9,T0R3,355,120.0,235.0,39.4,3363.45,1.739702283014571
9,T0R3,830,355.0,475.0,39.4,3363.45,1.739702283014571
9,T0R3,1290,830.0,460.0,39.4,3363.45,1.739702283014571
9,T0R3,1770,1290.0,480.0,39.4,3363.45,1.739702283014571
9,T0R3,2345,1770.0,575.0,39.4,3363.45,1.739702283014571
9,T0R3,3345,2345.0,1000.0,39.4,3363.45,1.739702283014571
10,T0R3,40,3345.0,-3305.0,39.4,3363.45,1.739702283014571
10,T0R3,110,40.0,70.0,39.4,3363.45,1.739702283014571
10,T0R3,340,110.0,230.0,39.4,3363.45,1.739702283014571
10,T0R3,750,340.0,410.0,39.4,3363.45,1.739702283014571
10,T0R3,1295,750.0,545.0,39.4,3363.45,1.739702283014571
10,T0R3,1750,1295.0,455.0,39.4,3363.45,1.739702283014571
10,T0R3,2370,1750.0,620.0,39.4,3363.45,1.739702283014571
10,T0R3,3330,2370.0,960.0,39.4,3363.45,1.739702283014571
1,T0R4,35,,,39.4,3363.45,1.739702283014571
1,T0R4,105,35.0,70.0,39.4,3363.45,1.739702283014571
1,T0R4,320,105.0,215.0,39.4,3363.45,1.739702283014571
1,T0R4,760,320.0,440.0,39.4,3363.45,1.739702283014571
1,T0R4,1390,760.0,630.0,39.4,3363.45,1.739702283014571
1,T0R4,1895,1390.0,505.0,39.4,3363.45,1.739702283014571
1,T0R4,2360,1895.0,465.0,39.4,3363.45,1.739702283014571
1,T0R4,3405,2360.0,1045.0,39.4,3363.45,1.739702283014571
2,T0R4,40,3405.0,-3365.0,39.4,3363.45,1.739702283014571
2,T0R4,120,40.0,80.0,39.4,3363.45,1.739702283014571
2,T0R4,325,120.0,205.0,39.4,3363.45,1.739702283014571
2,T0R4,730,325.0,405.0,39.4,3363.45,1.739702283014571
2,T0R4,1255,730.0,525.0,39.4,3363.45,1.739702283014571
2,T0R4,1755,1255.0,500.0,39.4,3363.45,1.739702283014571
2,T0R4,2330,1755.0,575.0,39.4,3363.45,1.739702283014571
2,T0R4,3355,2330.0,1025.0,39.4,3363.45,1.739702283014571
3,T0R4,40,3355.0,-3315.0,39.4,3363.45,1.739702283014571
3,T0R4,120,40.0,80.0,39.4,3363.45,1.739702283014571
3,T0R4,300,120.0,180.0,39.4,3363.45,1.739702283014571
3,T0R4,795,300.0,495.0,39.4,3363.45,1.739702283014571
3,T0R4,1295,795.0,500.0,39.4,3363.45,1.739702283014571
3,T0R4,1795,1295.0,500.0,39.4,3363.45,1.739702283014571
3,T0R4,2345,1795.0,550.0,39.4,3363.45,1.739702283014571
3,T0R4,3395,2345.0,1050.0,39.4,3363.45,1.739702283014571
4,T0R4,40,3395.0,-3355.0,39.4,3363.45,1.739702283014571
4,T0R4,105,40.0,65.0,39.4,3363.45,1.739702283014571
4,T0R4,330,105.0,225.0,39.4,3363.45,1.739702283014571
4,T0R4,745,330.0,415.0,39.4,3363.45,1.739702283014571
4,T0R4,1230,745.0,485.0,39.4,3363.45,1.739702283014571
4,T0R4,1780,1230.0,550.0,39.4,3363.45,1.739702283014571
4,T0R4,2350,1780.0,570.0,39.4,3363.45,1.739702283014571
4,T0R4,3320,2350.0,970.0,39.4,3363.45,1.739702283014571
5,T0R4,40,3320.0,-3280.0,39.4,3363.45,1.739702283014571
5,T0R4,100,40.0,60.0,39.4,3363.45,1.739702283014571
5,T0R4,325,100.0,225.0,39.4,3363.45,1.739702283014571
5,T0R4,780,325.0,455.0,39.4,3363.45,1.739702283014571
5,T0R4,1250,780.0,470.0,39.4,3363.45,1.739702283014571
5,T0R4,2035,1250.0,785.0,39.4,3363.45,1.739702283014571
5,T0R4,2360,2035.0,325.0,39.4,3363.45,1.739702283014571
5,T0R4,3356,2360.0,996.0,39.4,3363.45,1.739702283014571
6,T0R4,40,3356.0,-3316.0,39.4,3363.45,1.739702283014571
6,T0R4,110,40.0,70.0,39.4,3363.45,1.739702283014571
6,T0R4,365,110.0,255.0,39.4,3363.45,1.739702283014571
6,T0R4,730,365.0,365.0,39.4,3363.45,1.739702283014571
6,T0R4,1285,730.0,555.0,39.4,3363.45,1.739702283014571
6,T0R4,1775,1285.0,490.0,39.4,3363.45,1.739702283014571
6,T0R4,2395,1775.0,620.0,39.4,3363.45,1.739702283014571
6,T0R4,3355,2395.0,960.0,39.4,3363.45,1.739702283014571
7,T0R4,40,3355.0,-3315.0,39.4,3363.45,1.739702283014571
7,T0R4,100,40.0,60.0,39.4,3363.45,1.739702283014571
7,T0R4,300,100.0,200.0,39.4,3363.45,1.739702283014571
7,T0R4,830,300.0,530.0,39.4,3363.45,1.739702283014571
7,T0R4,1280,830.0,450.0,39.4,3363.45,1.739702283014571
7,T0R4,1700,1280.0,420.0,39.4,3363.45,1.739702283014571
7,T0R4,2370,1700.0,670.0,39.4,3363.45,1.739702283014571
7,T0R4,3347,2370.0,977.0,39.4,3363.45,1.739702283014571
8,T0R4,40,3347.0,-3307.0,39.4,3363.45,1.739702283014571
8,T0R4,100,40.0,60.0,39.4,3363.45,1.739702283014571
8,T0R4,320,100.0,220.0,39.4,3363.45,1.739702283014571
8,T0R4,790,320.0,470.0,39.4,3363.45,1.739702283014571
8,T0R4,1240,790.0,450.0,39.4,3363.45,1.739702283014571
8,T0R4,1760,1240.0,520.0,39.4,3363.45,1.739702283014571
8,T0R4,2345,1760.0,585.0,39.4,3363.45,1.739702283014571
8,T0R4,3330,2345.0,985.0,39.4,3363.45,1.739702283014571
